Amino acid 	P4 	P3 	P2 	P1 	P1' 	P2' 	P3' 	P4'
Gly 	120 	33 	45 	124 	23 	31 	129 	42
Pro 	25 	155 	51 	22 	11 	11 	8 	49
Ala 	32 	56 	57 	52 	35 	42 	59 	50
Val 	28 	29 	18 	21 	42 	26 	24 	19
Leu 	38 	32 	34 	35 	107 	41 	18 	38
Ile 	13 	13 	9 	6 	30 	14 	10 	10
Met 	4 	1 	5 	4 	14 	6 	1 	5
Phe 	23 	8 	16 	12 	15 	16 	10 	13
Tyr 	2 	3 	13 	10 	15 	6 	4 	6
Trp 	0 	0 	0 	1 	2 	5 	2 	1
Ser 	20 	23 	31 	19 	31 	26 	39 	35
Thr 	10 	10 	12 	13 	6 	33 	18 	15
Cys 	1 	1 	4 	2 	0 	3 	4 	2
Asn 	11 	4 	3 	17 	3 	9 	7 	12
Gln 	12 	6 	23 	9 	23 	32 	9 	8
Asp 	7 	5 	4 	7 	6 	8 	10 	24
Glu 	12 	5 	16 	15 	8 	17 	12 	23
Lys 	14 	8 	25 	20 	21 	32 	17 	21
Arg 	16 	5 	36 	13 	14 	40 	22 	13
His 	8 	8 	6 	10 	2 	11 	4 	3
